Hito_ID,Titulo,Descripcion,Estado,Evidencia_Material,Condicion_De_Cierre,Observaciones
SVP-H-001,Apertura canónica de agentes,La sede agentes comparece ya como primer nivel visible del repositorio aplicado.,Verificado,agentes/README.md; agentes/inmunologia/; agentes/seguridad_estructural/,"Sede visible, legible y sostenida como referencia canónica del repositorio.",No elimina por sí sola restos históricos en dominios/.
SVP-H-002,Seguridad estructural — Fase I,"Existe absorción material de la fase con publicación, figuras, laboratorio y artefactos web.",Verificado,agentes/seguridad_estructural/fase_1/publicacion/; agentes/seguridad_estructural/fase_1/figuras/; agentes/seguridad_estructural/fase_1/laboratorio/; agentes/seguridad_estructural/fase_1/artefactos_web/,Conjunto de fase presente y coherente en su sede canónica.,Debe leerse a la vez como agente propio y como custodia basal del diseño ya abierta.
SVP-H-003,Inmunología — Fases I y II,Existe absorción material de ambas fases y del compositor adscrito a Fase II.,Verificado,agentes/inmunologia/fase_1/; agentes/inmunologia/fase_2/; agentes/inmunologia/fase_2/compositor/; agentes/inmunologia/index.html,Estructura de fases y acceso del agente presentes en la sede canónica.,La sede canónica vigente del agente es agentes/inmunologia/.
SVP-H-004,Patrón aplicado y custodia basal,Las piezas internas de patrón de agente y custodia basal están materialmente presentes.,Verificado,especificaciones/patron_agente_especializado/README.md; especificaciones/custodia_basal_del_diseno/README.md,"Piezas visibles, coherentes y adscritas a su función aplicada.",Su función es aplicada y subordinada; no sustituyen doctrina ni lenguaje.
SVP-H-005,Activación del control mínimo de calidad,Queda abierto en docs/calidad/ un bloque mínimo de calidad adaptado a SVperitus.,Vigente,docs/calidad/README.md; docs/calidad/NOTA_DE_ALCANCE_DEL_CONTROL_DE_CALIDAD_EN_SVPERITUS_2026_03_28.md; registros CSV del bloque,"Bloque local visible, sobrio y mantenido sin duplicación impropia.","Su coordinación con el lenguaje se resuelve por remisión expresa, no por simetría completa."
SVP-H-006,Regularización pública de Inmunología — Fase II,"Se sanea el lenguaje público de la especificación P01–P25, de la configuración y del motor normativo de la Fase II, eliminando fórmulas internas impropias y fijando un estatuto público sobrio.",Vigente,agentes/inmunologia/fase_2/IMMUNO2_P01-P25_spec.md; agentes/inmunologia/fase_2/config/imm2_n25.yaml; agentes/inmunologia/fase_2/src/normative_engine.py,"Piezas visibles, coherentes y redactadas en lenguaje público apto para terceros.",No altera la lógica clínica ni la estructura paramétrica de IMMUNO-2; sanea sólo su estatuto público y su legibilidad editorial.
SVP-H-007,Catálogo profesional candidato de Ciberseguridad Inteligente,Perímetro; catálogo Excel; biblioteca; revisión adversarial; 22 operaciones y propuesta motivada.,Preparado para decisión constitutiva,docs/calidad/EXPEDIENTE_CIBERSEGURIDAD_INTELIGENTE_2026_09_08.md#resultado-del-primer-tramo,Adopción competente del perímetro pertinente y selección de operación; recorrido posterior hasta cierre C1 fuera de este hito.,No se declara aprobada la propuesta OPC-07 ni se genera anexo de catálogo cerrado.
SVP-H-008,Inventario documental OP-CYB-001 tratado,Quince definiciones; catorce controles; dieciséis relaciones; contrato de retorno y deuda.,Terminado en alcance documental con insuficiencias,docs/calidad/EXPEDIENTE_CIBERSEGURIDAD_INTELIGENTE_2026_09_08.md#inventario-terminal-20260909,Resolver D-CYB-01/02/03/05 antes de capacidad operacional; decisión humana sobre novedades.,No declara agotado operacionalmente el universo ni todo el dominio; no constituye células por contar definiciones.
SVP-H-009,Conclusión paramétrica del primer universo,"OP-CYB-001 contiene 24 definiciones con consecuencias, cobertura y bibliografía.",Concluido en el perímetro declarado,dominios/ciberseguridad-inteligente/dominio-04-09-26/universos/OP-CYB-001/ACTA_CONCLUSION_PRIMER_UNIVERSO_OP_CYB_001_v0.2.md,Candidatos pertinentes resueltos; dictamen de agotamiento incorporado.,Rectifica SVP-H-008 en su criterio de terminación. No acredita ejecución sobre activos ni activa relevo automático.
SVP-H-010,Revisión regulada del primer universo,P01–P24 conservados; P25–P32 adjudicados; dieciséis controles y doce hallazgos.,Incremento documental cerrado con límites operacionales,dominios/ciberseguridad-inteligente/dominio-04-09-26/universos/OP-CYB-001/MANIFIESTO_REVISION_REGULADA_OP_CYB_001_v0.3.md,"Rectifica la cobertura de SVP-H-009; fuentes, consecuencias, pruebas y escenarios explícitos.",No autentica permisos ni datos reales; no ejecuta IR ni abre otro universo.
