Fuente_ID,Capa,Familia,Referencia_organismo,Jurisdiccion,Version_fecha,Identificador,URL_principal,Objeto_admitido,Objeto_no_admitido,Estado,Fecha_corte,Origen_revision
CURR-ES-INM-001,A1,Perímetro profesional,"Orden SCO/3255/2006; programa formativo de Inmunología",España,2006-10-02,BOE-A-2006-18430,https://www.boe.es/eli/es/o/2006/10/02/sco3255,"Canon jurídico-profesional español y conocimiento mínimo declarado","Dominio clínico completo o evidencia de consecuencias",VERIFICADA_CONTENIDO,2026-09-01,Watson+Grok
CURR-ES-ALG-001,A1,Frontera profesional,"Orden SCO/3081/2006; programa formativo de Alergología",España,2006-09-20,BOE-A-2006-17620,https://www.boe.es/eli/es/o/2006/09/20/sco3081,"Frontera y solapamiento con Alergología","Fusión automática de especialidades",VERIFICADA_CONTENIDO,2026-09-01,Watson+Grok
CURR-UK-ACLI-001,A1,Perímetro profesional,"Federation of the Royal Colleges of Physicians; Allergy Clinical and Laboratory Immunology curriculum",Reino Unido,2021,ACLI-2021,https://www.thefederation.uk/training/specialties/immunology,"Capacidades médicas; presentaciones; condiciones; progresión y procedimientos","Autoridad jurídica española",VERIFICADA_CONTENIDO,2026-09-01,Watson
CURR-UK-ARCP-001,A1,Progresión y acreditación,"ACLI ARCP Decision Aid",Reino Unido,"actualizada noviembre 2024",ARCP-ACLI,https://www.thefederation.uk/document/allergy-clinical-and-laboratory-immunology-acli-arcp-decision-aid-updated-november-2024,"Niveles de progresión; instrumentos; procedimientos y autonomía","Currículo clínico completo o prueba de consecuencias",VERIFICADA_CONTENIDO,2026-09-01,Watson
CURR-UK-HSST-001,A1,Ciencia clínica y laboratorio,"NSHCS HSST Clinical Immunology",Reino Unido,"consulta 2026-09-01",HLS1-3-20,https://curriculumlibrary.nshcs.org.uk/hsst/specialty/HLS1-3-20/,"Sustrato científico; laboratorio; inmunodeficiencia; autoimunidad; alergia; terapéutica; malignidad linfoide","Autoridad médica española o sustitución del currículo médico",VERIFICADA_CONTENIDO,2026-09-01,Watson
CURR-UK-STP-001,A1,Ciencia clínica y laboratorio,"NSHCS STP Clinical Immunology",Reino Unido,"consulta 2026-09-01",SLS1-3-22,https://curriculumlibrary.nshcs.org.uk/stp/specialty/SLS1-3-22/,"Competencias prácticas; investigación; interpretación; calidad y comunicación","Autonomía de inmunólogo médico",VERIFICADA_CONTENIDO,2026-09-01,Watson
STD-RCPATH-G196,A2,Laboratorio,"RCPath G196 Guidance on the scope and clinical direction of immunology testing",Reino Unido,2026-04,G196,https://www.rcpath.org/document-library-search.html?specialist_area=immunology,"Alcance y dirección clínica de pruebas inmunológicas","Plan profesional completo o consecuencia clínica universal",VERIFICADA_CONTENIDO,2026-09-01,Watson
STD-RCPATH-G158,A2,Seguridad de resultados,"RCPath G158 The communication of critical and unexpected pathology results",Reino Unido,2026-05,G158,https://www.rcpath.org/document-library-search.html?specialist_area=immunology,"Comunicación y registro de resultados críticos o inesperados","Fundamento explícito de append-only o causalidad clínica",VERIFICADA_CONTENIDO,2026-09-01,Watson
IUIS-GENO-2024,A2,Errores innatos de la inmunidad,"Poli MC et al.; Human inborn errors of immunity: 2024 update",Internacional,2025-04-15,"PMID:41608114; DOI:10.70962/jhi.20250003",https://pubmed.ncbi.nlm.nih.gov/41608114/,"Clasificación genotípica; 508 genes monogénicos y 17 fenocopias","Convertir cada gen en parámetro operativo",VERIFICADA_CONTENIDO,2026-09-01,Grok revisado por Watson
IUIS-PHENO-2024,A2,Errores innatos de la inmunidad,"IUIS phenotypic classification 2024 update",Internacional,2025-04-15,"PMID:41608113; DOI:10.70962/jhi.20250002",https://pubmed.ncbi.nlm.nih.gov/41608113/,"Árbol fenotípico; 559 entidades IEI","Exhaustividad operativa o cohorte clínica",VERIFICADA_CONTENIDO,2026-09-01,Grok revisado por Watson
