Registro_ID,Dataset_ID,Nombre,Version_Fecha,Repositorio,Responsable,URL_DOI_Accession,Finalidad_original,Tipo_fuente,Jurisdiccion,Poblacion,Criterios_inclusion,Criterios_exclusion,Unidad_observacional,N_cohorte,Periodo_observacion,Seguimiento,Variables_inmunologicas,Intervenciones_exposiciones,Desenlaces,Temporalidad,Nivel_agregacion,Diccionario_datos,Datos_faltantes,Transformaciones,Licencia,Acceso,Redistribucion,IA_elegible,Anonimizacion,Riesgo_reidentificacion,Procedimiento_obtencion,Hash_exportacion,Cobertura_candidata,Huecos,Limitaciones,Residual,Estado_D0L,Estado_clinico,Fuente_verificacion,Fecha_verificacion
REG-001,DS-CTGOV-NCT05000216,ACV01 registro ClinicalTrials.gov (NCT05000216),consulta API v2 2026-09-01; TERMINATED; completion 2024-03-28; whyStopped: continued enrollment hurdles,ClinicalTrials.gov,NIAID (DAIT ACV01),NCT05000216; https://clinicaltrials.gov/study/NCT05000216; API https://clinicaltrials.gov/api/v2/studies/NCT05000216,"Registro publico de ensayo de refuerzo COVID-19 en AIIRD no respondedores. Esta fila documenta metadato de diseno, no el paquete ImmPort.",ensayo_registro,Estados Unidos,"AIIRD adulto y pediatrico declarados: RA, SLE, penfigo vulgar, MS, SSc, pSLE, JIA, JDM, POMS con vacunacion COVID completa previa",Adulto general: consentimiento; vacunacion COVID completa documentada >=4 y <=52 semanas antes de Stage 1 (o <=48 semanas Stage 2). Criterio completo en eligibilityModule.,Entre otros: alergia grave a pauta COVID/PEG; neoplasia en quimio/inmunoterapia; enfermedad activa que impide retirar IS; SARS-CoV-2 <30 d o PCR+ screening; miocarditis/pericarditis <6 sem; infecciones cronicas activas; CVID o IGRT (nota pediatrica IVIG); Ac/plasma anti-SARS-CoV-2 <30 d; vacuna viva <2 meses o prevista; gestacion/lactancia. Texto integro en API.,participante (declarado; microdato no inspeccionado),enrollment ACTUAL=258. No armonizar con paper 279/148/140/141 ni DR60 N=148.,start 2021-08-13; primaryCompletion 2023-06-22; completion 2024-03-28,desenlace primario declarado a semana 4 post-vacunacion,declaradas: respuesta de anticuerpo protectora a sem 4. Variables depositadas NO leidas.,"refuerzo mRNA-1273 / BNT162b2 / Ad26.COV2.S / monovalente AS03 / bivalentes; Continue o Withhold IS (MMF-MPA, MTX, B-cell depletion)",percent of Stage 1 adult / Stage 2 adult / pediatric participants with protective antibody response at week 4,longitudinal declarada; no comprobada en deposito,metadato de registro de ensayo,el registro NCT no es diccionario ImmPort,U_CAUSA_DECLARADA para microdato y diccionario de deposito,no aplicables al registro,metadato NCT de uso publico; no es licencia ImmPort,API v2 HTTP 200 sin clave 2026-09-01,metadato NCT si; microdato no forma parte de esta fila,NO para tratamiento ni diagnostico. Citar diseno no equivale a tratar.,no hay microdato en esta fila,no aplica a metadato de registro,GET https://clinicaltrials.gov/api/v2/studies/NCT05000216,,F-AUTOIMM-AIIRD (diseno); F-VACUNA-IS (refuerzo no vivo + withhold IS),F-PJP; vacuna viva; F-IEI; diccionario ImmPort; N unificado,TERMINATED por hurdles de enrollment; 258 distinto de N paper,publicacion distinto de deposito; DR60 Assays None,EVALUADO,CANDIDATO_NO_ADOPTADO,ClinicalTrials.gov API v2 2026-09-01; Lectura_publica_SDY3324_ACV01_2026-08-31; Fuentes_acceso_capa2_05_D0L_bloqueo,2026-09-01
REG-002,DS-IMMPORT-SDY3324,ImmPort SDY3324 paquete ACV01,deposito citado por paper; DR60 2026-08-31 Assays None / Clinical None,ImmPort Shared Data,NIAID / Data Provider,SDY3324; DOI 10.21430/M35OC5U8Z7; paper 10.1172/jci.insight.191266; NCT05000216,"Repositorio de datos del ensayo ACV01. Esta fila es el paquete, no el registro NCT.",ensayo_repositorio,Estados Unidos,misma poblacion declarada que NCT05000216; N material del zip NO inspeccionado,no leidos en diccionario ImmPort,no leidos en diccionario ImmPort,sujeto ImmPort (no inspeccionado),DR60 nota 148; paper 279/148/140/141; CT.gov 258. No armonizar.,no leido en paquete,no leido en paquete,NO COMPROBADAS. DR60 Assays: None.,declaradas en paper/NCT; no leidas en diccionario del zip,anti-RBD en paper; no comprobado en deposito,desconocida en deposito,individual desidentificado declarado por ImmPort; no verificado en este paquete,"NO LEIDO. Pagina /shared/study/{SDY} cascaron JS (17538 bytes identicos para 7 accesiones, 2026-09-01). API estudio 401 sin token (expediente 31-08).","diccionario, unidades, ausencias, medicacion concomitante, desenlace depositado",desconocidas,"ImmPort User Agreement https://docs.immport.org/home/agreement/ ss 1.1, 2.4, 2.5",cuenta + aceptacion del acuerdo; cuenta no creada,s2.4 permite redistribuir bajo terminos conmensurables; NO implica IA ni tratar; zip no copiado,NO. s2.5: datos no adecuados para diagnostico ni para informar decisiones de tratamiento humano. El acuerdo no menciona IA.,Safe Harbor declarado por ImmPort; no auditado en este paquete,reidentificar prohibido s1.1; riesgo no cuantificado aqui,NO EJECUTADO. Receta: cuenta ImmPort + acuerdo + SDY3324 + leer data dictionary del zip. Prohibido en esta ronda.,,ninguna familia cubierta en D0-E,todas las variables de deposito; D0-E=0,publicacion distinto de contenido material del deposito,RSD-02 PJP; P-VAC viva; G1 abiertos,ACCESO_PENDIENTE,CANDIDATO_NO_ADOPTADO,docs.immport.org/home/agreement 2026-09-01; DR60 expediente D0 2026-08-31; paper JCI Insight e191266; D0L_bloqueo,2026-09-01
REG-003,DS-CTGOV-NCT01516177,ITN524ST / CTOT-12 ARTIST registro ClinicalTrials.gov,consulta API v2 2026-09-01; COMPLETED; completion 2014-04,ClinicalTrials.gov,NIAID (DAIT ITN524ST/CTOT-12),NCT01516177; https://clinicaltrials.gov/study/NCT01516177; API https://clinicaltrials.gov/api/v2/studies/NCT01516177,Registro observacional: prevalencia de firma de tolerancia ITN en receptores de rinon. No es el paquete ImmPort SDY3274. No es el paper ST507 2010.,cohorte_observacional_registro,Estados Unidos,receptores de primer trasplante renal,primer rinon vivo o cadaver; Tx entre 1 y 5 anos; eGFR >=45 mL/min/1.73 m2 en ultimos 6 meses; consentimiento,rechazo agudo cortico-resistente; >=2 episodios de rechazo agudo; rechazo agudo en el ultimo ano; neoplasia actual; otro organo; SIDA segun CDC,participante (declarado),enrollment ACTUAL=250,start 2010-09; completion 2014-04,time frame declarado 2 anos; al menos un time point de firma,firma de tolerancia renal ITN declarada; detalle de genes/ensayos NO en esta fila,ninguna de ensayo; exposicion = trasplante e IS de mantenimiento no detallada en extracto,presencia de al menos un time point de la firma de tolerancia renal previamente identificada,observacional,metadato de registro,el registro no es diccionario ImmPort,ensayos moleculares reales del deposito,no aplicables al registro,metadato NCT publico,API v2 HTTP 200 2026-09-01,metadato si,NO tratar; SI citar diseno,n/a metadato,n/a metadato,GET https://clinicaltrials.gov/api/v2/studies/NCT01516177,,F-TRASPLANTE-RENAL (diseno),F-IEI; F-PJP; vacuna; alergia; autoinmunidad no renal,no confundir con paper ST507 2010 distinto,paquete ImmPort SDY3274 no leido,EVALUADO,CANDIDATO_NO_ADOPTADO,ClinicalTrials.gov API v2 2026-09-01; Expediente_D0 v0.1; Lectura_publica_SDY3274_ARTIST,2026-09-01
REG-004,DS-IMMPORT-SDY3274,ImmPort SDY3274 paquete ARTIST/CTOT-12,DR60 2026-08-31 Assays None / Clinical None; N nota 250,ImmPort,NIAID / ITN,SDY3274; DOI 10.21430/M3K94KYHFN; NCT01516177,Deposito observacional de tolerancia renal. Distinto del registro NCT y del paper ST507 2010.,cohorte_repositorio,Estados Unidos,no leida en diccionario,no leidos,no leidos,sujeto ImmPort no inspeccionado,250 nota DR60; no recontado en zip,no leido,no leido,NO COMPROBADAS,no leidas,no leidos en deposito,desconocida,individual declarado,NO LEIDO. Cascaron JS /shared/study/SDY3274.,diccionario completo,desconocidas,"ImmPort User Agreement ss 1.1, 2.4, 2.5",cuenta no creada,segun acuerdo; zip no copiado,NO (s2.5),declarada ImmPort; no auditada,no cuantificado,NO EJECUTADO,,ninguna en D0-E,variables y desenlaces depositados,DR60 vacio en assays,no es IEI; no cierra PJP,ACCESO_PENDIENTE,CANDIDATO_NO_ADOPTADO,Expediente D0 2026-08-31; acuerdo ImmPort 2026-09-01,2026-09-01
REG-005,DS-IMMPORT-SDY1414,ImmPort SDY1414 (accesion de expediente; ficha primaria no leida),citado 2026-08-31; version de deposito no leida,ImmPort,no verificado en fuente primaria esta ronda,SDY1414,U_CAUSA_DECLARADA: sinopsis Watson (290 Tx cardiaco pediatrico; 2558 Luminex) no recontada ni leida en fuente primaria,cohorte_repositorio,no verificada,NO LEIDA en fuente primaria esta ronda,NO LEIDOS,NO LEIDOS,NO LEIDA,290 / 2558 citados; NO RECONTADOS,NO LEIDO,NO LEIDO,Luminex citado; no comprobado,NO LEIDAS,NO LEIDOS,desconocida,desconocido,NO LEIDO. Cascaron JS.,ficha completa,desconocidas,ImmPort User Agreement si el deposito existe,no verificado,no verificada,NO hasta D0-L,no auditada,no cuantificado,NO EJECUTADO,,F-TRASPLANTE-CARDIACO candidata no verificada,todo el diccionario,accesion citada distinto de ficha leida,HLA operativa SOT no esta en A1 como cohorte,IDENTIFICADO,CANDIDATO_NO_ADOPTADO,"Expediente_D0_estudios_candidatos_v0.1_2026-08-31 (cita, no lectura)",2026-09-01
REG-006,DS-IMMPORT-SDY621,ImmPort SDY621 (accesion de expediente; ficha primaria no leida),citado 2026-08-31,ImmPort,no verificado,SDY621,U_CAUSA_DECLARADA: N 3611 citado no recontado,cohorte_repositorio,no verificada,NO LEIDA,NO LEIDOS,NO LEIDOS,NO LEIDA,3611 citado; NO RECONTADO,NO LEIDO,NO LEIDO,NO COMPROBADAS,NO LEIDAS,NO LEIDOS,desconocida,desconocido,NO LEIDO,ficha completa,desconocidas,ImmPort si existe,no verificado,no verificada,NO,no auditada,no cuantificado,NO EJECUTADO,,no asignable,ficha,cita distinto de lectura,,IDENTIFICADO,CANDIDATO_NO_ADOPTADO,Expediente D0 v0.1,2026-09-01
REG-007,DS-IMMPORT-SDY218,ImmPort SDY218 (accesion de expediente; ficha primaria no leida),citado 2026-08-31,ImmPort,no verificado,SDY218,U_CAUSA_DECLARADA: OIT y provocaciones alimentarias longitudinales citadas no leidas,ensayo_o_cohorte_repositorio,no verificada,NO LEIDA,NO LEIDOS,NO LEIDOS,NO LEIDA,NO RECONTADO,NO LEIDO,NO LEIDO,NO COMPROBADAS,OIT citada; no comprobada,provocacion citada; no comprobada,longitudinal citada,desconocido,NO LEIDO,ficha completa,desconocidas,ImmPort si existe,no verificado,no verificada,NO,no auditada,no cuantificado,NO EJECUTADO,,F-ALERGIA-OIT candidata no verificada,ficha,cita distinto de lectura,frontera alergologia SCO/3081 no fusionada,IDENTIFICADO,CANDIDATO_NO_ADOPTADO,Expediente D0 v0.1; BOE SCO/3081 en biblioteca capa 2,2026-09-01
REG-008,DS-IMMPORT-SDY1845,ImmPort SDY1845 (accesion citada; ficha primaria no leida),citado 2026-08-31,ImmPort,no verificado,SDY1845,U_CAUSA_DECLARADA,repositorio,no verificada,NO LEIDA,NO LEIDOS,NO LEIDOS,NO LEIDA,NO RECONTADO,NO LEIDO,NO LEIDO,NO COMPROBADAS,NO LEIDAS,NO LEIDOS,desconocida,desconocido,NO LEIDO,ficha completa,desconocidas,ImmPort si existe,no verificado,no verificada,NO,no auditada,no cuantificado,NO EJECUTADO,,no asignable,ficha,accesion sola,,IDENTIFICADO,CANDIDATO_NO_ADOPTADO,Expediente D0 v0.1,2026-09-01
REG-009,DS-IMMPORT-SDY1039,ImmPort SDY1039 (accesion citada; ficha primaria no leida),citado 2026-08-31,ImmPort,no verificado,SDY1039,U_CAUSA_DECLARADA,repositorio,no verificada,NO LEIDA,NO LEIDOS,NO LEIDOS,NO LEIDA,NO RECONTADO,NO LEIDO,NO LEIDO,NO COMPROBADAS,NO LEIDAS,NO LEIDOS,desconocida,desconocido,NO LEIDO,ficha completa,desconocidas,ImmPort si existe,no verificado,no verificada,NO,no auditada,no cuantificado,NO EJECUTADO,,no asignable,ficha,accesion sola,,IDENTIFICADO,CANDIDATO_NO_ADOPTADO,Expediente D0 v0.1,2026-09-01
REG-010,DS-PIDTC-6901-6902,PIDTC REDCap CCHMC protocolos 6901/6902,closed a actualizacion May 2025; extract-only interno,REDCap CCHMC / PIDTC,PIDTC / Cincinnati Children's,no dump ImmPort/dbGaP hallado 2026-08-31,registro clinico IEI/trasplante interno del consorcio,registro_controlado,Estados Unidos,cohorte PIDTC; N de papers 346/332/133 no es extracto,NO LEIDOS en fuente primaria abierta,NO LEIDOS,no verificada,no extraible en esta ronda,no leido,no leido,NO COMPROBADAS,HCT citado en literatura; no extracto,no leidos,desconocida,interno,no publico,acceso y diccionario,desconocidas,extract-only interno,no abierto,NO,NO,no auditada,no cuantificado,prohibido en esta ronda,,F-IEI no cubierta empiricamente,cohorte IEI abierta,closed May 2025; 6906/6907/6908 reclutando sin dump,D0-GAP-IEI,NO_ADMISIBLE,CANDIDATO_NO_ADOPTADO,Consulta_PIDTC_bases_2026-08-31; D0L_bloqueo; Consorcios_clinicos_analogos_PIDTC_2026-08-31,2026-09-01
