relation_id,entity_id,parameter_id,relation_type,direction,conditional_on,temporal_window,threshold_or_rule,omission_consequence,evidence_source,evidence_strength,repository_evidence,conflict_status,residual
R-001,E-ALG-ANA,P-ALG-002,definición / diagnóstico,presencia,sistema de criterios declarado,episodio agudo,WAO u otros versionados,no se autoriza adrenalina,WAO,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,versión de criterios
R-002,E-ALG-ANA,P-ALG-001,tratamiento,presencia de la intervención,P-ALG-002 = sí,minutos,IM; no IV de primera línea en comunidad,muerte evitable,WAO,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,dosis por peso no parametrizada
R-003,E-IEI-HAE-C1,P-ALG-006,orientación,sin habones,edema no histaminérgico,brote,"sin habones → vía C1-INH, no cierra",tratar HAE como anafilaxia,WAO HAE,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,AAE y HAE-nC1INH
R-004,E-IEI-HAE-C1,P-IEI-009,diagnóstico,disminución de función,basal,no solo crisis,función baja en tipo 1 y 2,HAE-2 perdido si solo hay Ag,WAO HAE,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,umbral % del ensayo
R-005,E-IEI-HAE-C1,P-IEI-010,clasificación tipo 1 vs 2,Ag bajo en tipo 1; normal en tipo 2,función ya medida,basal,Ag bajo = tipo 1; Ag normal + función baja = tipo 2,fusionar tipos,WAO HAE,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,HAE-nC1INH
R-006,E-IEI-SCID,P-IEI-003,cribado,disminución,programa NBS,RN,"corte del programa, no universal",SCID no detectado,programas NBS,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,leaky SCID
R-007,E-IEI-SCID,P-IEI-001,diagnóstico,disminución CD3,edad,confirmación post-cribado,rango etario lab,no clasificar T- vs T+,IUIS I,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,leaky
R-008,E-IEI-SCID,P-VAC-001,exclusión / toxicidad,presencia de vacuna viva es peligro,SCID no corregido,siempre pre-HSCT,contraindicación de vivas,enfermedad vacunal,ACIP IC,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,ventana 30 d convencional
R-009,E-IEI-SCID,P-INF-001,profilaxis,presencia indicada,SCID no inmune,diagnóstico → reconstitución,PJP profilaxis estándar en SCID,PJP,práctica IEI / ESID,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,fármaco si TMP-SMX no tolerable
R-010,E-IEI-CGD,P-IEI-007,diagnóstico,ausencia o disminución de burst,método DHR/NBT declarado,diagnóstico,ausencia de oxidación; mosaico en portadora XL,CGD no visto,IUIS V.3,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,DHR ≠ NBT
R-011,E-IEI-CVID,P-IEI-004,definición,disminución IgG,edad + exclusiones,pre-IGRT,"criterios ESID versionados, no un mg/dL universal","no hay CVID sin IgG baja, pero IgG baja no es CVID",ESID CVID,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,criterios versionados
R-012,E-IEI-CVID,P-IEI-005,clasificación,disminución IgA frecuente,criterios,diagnóstico,muchos criterios exigen IgA o IgM también bajos,confundir con déficit selectivo IgA,ESID,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,versiones
R-013,E-IEI-CVID,P-VAC-006,definición funcional,disminución de Ab específicos,vacunación documentada,post-dosis,ensayo tetanus ≠ neumococo,usar el compuesto respuesta vacunal,ESID CVID,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,otras vacunas no listadas
R-014,E-IEI-CVID,P-VAC-007,tratamiento,presencia IGRT,indicación,crónico,vía y producto declarados,interrupción,ESID IGRT,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,valle IgG no ligado aquí
R-015,E-IEI-CVID,P-CLI-003,desenlace / gravedad,presencia bronquiectasias,TC realizado,evolución,imagen declarada,daño estructural no seguido,UKPIN / CVID,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,no TC en A1
R-016,E-IEI-XLA,P-IEI-008,diagnóstico,ausencia CD19,varón + hipogammaglobulinemia,diagnóstico,B ausentes o muy bajos,llamar CVID a un XLA,IUIS III,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,AR agammaglobulinemia
R-017,E-IEI-XLA,P-GEN-001,confirmación,BTK P/LP,fenotipo,tras fenotipo,ACMG P/LP en BTK,no consejo a portadoras,IUIS / ACMG,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,VUS
R-018,E-IDS-FARM,P-IS-001,definición,presencia de clase,prescripción,mientras dura,una clase por exposición; combinaciones se declaran,el inmunosuprimido genérico,POE 5.1.9 + fichas,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,semillas no agotan clases
R-019,E-IDS-FARM,P-INF-001,profilaxis,presencia condicional,clase + dosis GC + tiempo + órgano,durante riesgo,NO CERRADO en v0.2,PJP o profilaxis sobrante,guías PJP no unificadas,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,umbral de indicación = residual bloqueante
R-020,E-IDS-ACD20,P-IS-002,definición de exposición,presencia,12 meses convención v0.2,12 m,ventana convencional,no vigilar IgG/CD19 tardíos,fichas anti-CD20,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,ventana
R-021,E-IDS-ACD20,P-IEI-008,monitorización,disminución CD19,post-dosis,meses,reconstitución B variable,re-dosificar o vacunar en momento erróneo,práctica,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,punto de reconstitución
R-022,E-IDS-ACD20,P-VIR-003,seguridad,perfil VHB debe existir,antes de la primera dosis,pre-tratamiento,anti-HBc+ exige estrategia,reactivación VHB,EASL / ficha,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,
R-023,E-AI-GBM,P-AU-001,diagnóstico,presencia,pulmón-riñón o GNRP,urgente,positivo + clínica; no esperar biopsia si fulminante,IRT o muerte,KDIGO,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,doble ANCA+GBM
R-024,E-AI-GPA,P-AU-003,clasificación,presencia PR3,vasculitis pequeño vaso,diagnóstico/recaída,PR3 ≠ entidad,GPA no orientada,ACR/EULAR 2022,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,PR3-negativos existen
R-025,E-AI-MPA,P-AU-002,clasificación,presencia MPO,vasculitis pequeño vaso,diagnóstico,MPO ≠ entidad,fusionar con GPA,ACR/EULAR 2022,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,MPO en EGPA
R-026,E-AI-LES,P-AU-004,entrada de clasificación,título ANA,ACR/EULAR 2019 entrada,diagnóstico,ANA de entrada ≥1:80 en 2019; no es LES,menor que omitir clínica,ACR/EULAR 2019,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,ANA+ sano
R-027,E-AI-LES,P-AU-006,actividad / clasificación,elevación,método declarado,brote renal,método-específico,nefritis no vigilada,práctica LES,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,método
R-028,E-AI-LES,P-CMP-001,actividad,disminución C3,LES conocido,brote,consumo ≠ déficit congénito,actividad renal no vista,práctica / SLICC,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,consumo vs déficit
R-029,E-AI-SAF,P-AU-008,definición,presencia LA persistente,ISTH + 12 semanas,12 semanas,un positivo no es SAF,anticoagular de más o de menos,ISTH + ACR/EULAR 2023,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,2006 vs 2023
R-030,E-AI-SAF,P-AU-009,definición,elevación aCL IgG persistente,12 semanas + umbral de criterio,12 semanas,medio/alto según versión,SAF incompleto,ACR/EULAR 2023,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,IgM no listada
R-031,E-TX-HAR,P-TX-001,exclusión,CDC T+ como barrera clásica,oferta de órgano,pre-implante,política de centro / órgano,hiperagudo,ASHI / ONT,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,hold-out; flow XM aparte
R-032,E-TX-ABMR,P-TX-002,diagnóstico / pronóstico,presencia DSA,Banff + histología,post-SOT,DSA solo no es ABMR,tratar un MFI,Banff,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,MFI de plataforma
R-033,E-INF-CMV-E,P-VIR-001,monitorización (no definición),elevación DNAemia,protocolo preemptive,post-SOT,DNAemia ≠ enfermedad de órgano,confundir PCR con colitis,TTS CMV,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,umbral preemptive
R-034,E-INF-CMV-E,P-VIR-002,riesgo / profilaxis,patrón D+/R-,SOT,pre-implante,D+/R- máximo riesgo clásico,no profilaxar,TTS,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,no exportar a IEI no SOT
R-035,E-INF-PJP,P-INF-001,prevención (no cierra indicación),ausencia de profilaxis cuando estaba indicada,indicación NO CERRADA en v0.2,periodo de riesgo,residual,PJP evitable o atribución falsa,guías heterogéneas,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,esta relación NO autoriza un umbral
R-036,E-IDS-VIH,P-VIR-004,definición,presencia,serología/carga,siempre que se etiquete IEI o IS,no documentado es estado,fenocopia,POE + EACS,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,cohorte VIH ≠ IEI
R-037,E-IDS-VIH,P-IEI-002,gravedad / profilaxis,disminución CD4,VIH conocido,crónico,umbrales VIH 200/350 — NO exportar a IEI,PJP no profilaxada en VIH; o umbral VIH aplicado a SCID,EACS/CDC,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,no exportar umbral
R-038,E-IEI-HLH-F,P-HLH-001,"criterio (item, no síndrome)",elevación ferritina,HLH-2004,agudo,≥500 histórico; no patognomónico,item perdido o HLH cerrado con un número,HLH-2004,propuesta no graduada,no contrastado — ninguna fuente A1 adoptada,pendiente,HScore vs 2004
