field_id,block,layer,kind,input_mode,short_name,display_name,data_type,allowed_values,meaning_0,meaning_1,meaning_U,source,render_cell,render_order,notes
L01,L,L1,INPUT_MANUAL,MANUAL,age_risk,Edad de riesgo,ternary,0|1|U,<55 años,≥55 años,No consta,clínica/antecedentes,L,L01,
L02,L,L1,INPUT_MANUAL,MANUAL,smoking,Tabaquismo relevante,ternary,0|1|U,Nunca fumador o <20 paquetes-año y no fumador actual,Fumador actual o antecedente ≥20 paquetes-año,No consta,clínica/antecedentes,L,L02,
L03,L,L1,INPUT_MANUAL,MANUAL,prior_cancer,Antecedente personal de cáncer,ternary,0|1|U,Ausente,Presente,No consta,clínica/antecedentes,L,L03,
L04,L,L1,INPUT_MANUAL,MANUAL,lung_risk_bg,Pulmón de alto riesgo (EPOC/enfisema/fibrosis),ternary,0|1|U,Ausente,Presente,No consta,clínica/antecedentes,L,L04,
L05,L,L1,INPUT_MANUAL,MANUAL,carcinogen_exp,Exposición carcinógena relevante,ternary,0|1|U,Ausente,Presente,No evaluado,clínica/antecedentes,L,L05,
L06,L,L2,INPUT_MANUAL,MANUAL,hemoptysis,Hemoptisis,ternary,0|1|U,Ausente,Presente,No consta,clínica,L,L06,
L07,L,L2,INPUT_MANUAL,MANUAL,constitutional,Síndrome constitucional,ternary,0|1|U,Ausente,Presente,No consta,clínica,L,L07,
L08,L,L2,INPUT_MANUAL,MANUAL,resp_symptoms,Síntoma respiratorio persistente atribuible,ternary,0|1|U,Ausente,Presente,No consta,clínica,L,L08,
L09,L,L2,INPUT_MANUAL,MANUAL,family_lung_ca,Antecedente familiar de cáncer pulmonar,ternary,0|1|U,Ausente,Presente en familiar de primer grado,No consta,clínica/antecedentes,L,L09,
L10,L,L2,INPUT_MANUAL,MANUAL,persistent_lesion,Persistencia sin resolución infecciosa convincente,ternary,0|1|U,Resolución o clara mejoría,Persistencia,Seguimiento insuficiente,seguimiento,L,L10,
L11,L,L3,INPUT_MANUAL,MANUAL,size_relevant,Tamaño lesional relevante,ternary,0|1|U,Nódulo sólido o componente sólido <8 mm y no masa,"Nódulo sólido o componente sólido ≥8 mm, o lesión >30 mm",No consta,imagen estructurada,L,L11,
L12,L,L3,INPUT_MANUAL,MANUAL,spic_lob,Espiculación o lobulación,ternary,0|1|U,Ausentes,Presentes,No descritas,imagen estructurada,L,L12,
L13,L,L3,INPUT_MANUAL,MANUAL,upper_lobe,Localización en lóbulo superior,ternary,0|1|U,No,Sí,No consta,imagen estructurada,L,L13,
L14,L,L3,INPUT_MANUAL,MANUAL,subsolid_susp,Fenotipo subsólido sugestivo,ternary,0|1|U,No,Part-solid o subsólido persistente sospechoso,No clasificable,imagen estructurada,L,L14,
L15,L,L3,INPUT_MANUAL,MANUAL,pleural_vascular_signs,Retracción pleural / convergencia vascular / bronquio hacia lesión,ternary,0|1|U,Ausentes,Presente cualquiera de esos rasgos,No descritos,imagen estructurada,L,L15,
L16,L,L4,INPUT_MANUAL,MANUAL,growth,Crecimiento documentado,ternary,0|1|U,No,Sí,Sin comparativa,seguimiento,L,L16,
L17,L,L4,INPUT_MANUAL,MANUAL,temporal_malign,Dinámica temporal compatible con malignidad,ternary,0|1|U,No,Sí,No calculable,seguimiento,L,L17,
L18,L,L4,INPUT_MANUAL,MANUAL,no_benign_pattern,Ausencia de patrón benigno fuerte,ternary,0|1|U,Sí hay patrón benigno fuerte,No hay patrón benigno fuerte,No descrito,imagen estructurada,L,L18,
L19,L,L4,INPUT_MANUAL,MANUAL,non_smooth_margin,Margen no liso,ternary,0|1|U,Liso / perifisural típico,Irregular / microlobulado / no perifisural,No descrito,imagen estructurada,L,L19,
L20,L,L4,INPUT_MANUAL,MANUAL,density_solid_shift,Comportamiento densitométrico no tranquilizador,ternary,0|1|U,No,Sí,No comparable,seguimiento,L,L20,
L21,L,L5,INPUT_MANUAL,MANUAL,pet_susp,PET/CT sugestivo,ternary,0|1|U,No sugestivo,Sugestivo,No realizado / no interpretable,PET/CT,L,L21,
L22,L,L5,INPUT_MANUAL,MANUAL,nodes_susp,Adenopatías hiliares/mediastínicas sospechosas,ternary,0|1|U,Ausentes,Presentes,No consta,imagen estructurada,L,L22,
L23,L,L5,INPUT_MANUAL,MANUAL,pleural_extra_susp,Hallazgos pleurales o extrapulmonares sospechosos,ternary,0|1|U,Ausentes,Presentes,No consta,imagen estructurada,L,L23,
L24,L,L5,INPUT_MANUAL,MANUAL,better_target,Existencia de diana diagnóstica mejor que la lesión primaria,ternary,0|1|U,No,Sí,No evaluado,plan diagnóstico,L,L24,
L25,L,L5,INPUT_MANUAL,MANUAL,biopsy_access,Accesibilidad técnica razonable a muestreo,ternary,0|1|U,No,Sí,No valorado,plan diagnóstico,L,L25,
V01,V,V1,INPUT_MANUAL,MANUAL,sample_obtained,Muestra lesional adecuada obtenida,ternary,0|1|U,No,Sí,Pendiente / no aclarado,procedimiento,V,V01,
V02,V,V1,INPUT_MANUAL,MANUAL,tumor_cellularity,Celularidad tumoral suficiente para interpretación,ternary,0|1|U,Insuficiente,Suficiente,No especificado,patología,V,V02,
V03,V,V1,INPUT_MANUAL,MANUAL,ihc_feasible,Material apto para inmunohistoquímica básica,ternary,0|1|U,No,Sí,No realizado / no consta,patología,V,V03,
V04,V,V1,INPUT_MANUAL,MANUAL,molecular_feasible,Material apto para estudio molecular,ternary,0|1|U,No,Sí,No valorado,patología/molecular,V,V04,
V05,V,V2,INPUT_MANUAL,MANUAL,nsclc_established,Neoplasia epitelial maligna / NSCLC establecida,ternary,0|1|U,No,Sí,Indeterminada,patología,V,V05,
V06,V,V2,INPUT_MANUAL,MANUAL,glandular_diff,Diferenciación glandular presente,ternary,0|1|U,Ausente,Presente,No valorable,patología,V,V06,
V07,V,V2,INPUT_MANUAL,MANUAL,mucin,Mucina demostrable,ternary,0|1|U,Ausente,Presente,No estudiada / no valorable,patología,V,V07,
V08,V,V2,INPUT_MANUAL,MANUAL,morph_adc,Impresión morfológica final favorece adenocarcinoma,ternary,0|1|U,No,Sí,No concluyente,patología,V,V08,
V09,V,V3,INPUT_MANUAL,MANUAL,ttf1,TTF-1 positivo,ternary,0|1|U,Negativo,Positivo,No realizado,inmunohistoquímica,V,V09,
V10,V,V3,INPUT_MANUAL,MANUAL,napsin,Napsin A positivo,ternary,0|1|U,Negativo,Positivo,No realizado,inmunohistoquímica,V,V10,
V11,V,V3,INPUT_MANUAL,MANUAL,p40_not_dom,p40 no dominante,ternary,0|1|U,p40 difuso/fuerte compatible con escamoso dominante,"p40 ausente, débil o no dominante",No realizado,inmunohistoquímica,V,V11,
V12,V,V3,INPUT_MANUAL,MANUAL,neuroend_not_dom,Perfil neuroendocrino no dominante,ternary,0|1|U,Perfil neuroendocrino dominante,Ausente o no dominante,No realizado,inmunohistoquímica,V,V12,
V13,V,V4,INPUT_MANUAL,MANUAL,extra_primary_excl,Origen extrapulmonar más plausible razonablemente excluido,ternary,0|1|U,No,Sí,Estudio incompleto,integración clínica,V,V13,
V14,V,V4,INPUT_MANUAL,MANUAL,clin_radio_path_conc,Concordancia clínico-radiológico-patológica,ternary,0|1|U,Discordancia relevante,Concordancia suficiente,No valorable,integración clínica,V,V14,
V15,V,V4,INPUT_MANUAL,MANUAL,molecular_pathway_ok,Estudio molecular realizado o activado adecuadamente según circuito,ternary,0|1|U,No,Sí,Pendiente / no aplicable todavía,molecular,V,V15,
