ZIP	40888	40c5040d3932341a32804f2829848b75e4fbda22	e7d04f9afdd3da95cae921cf860d7902c2b9e016160c15aa190d51796325fb81
ruta_zip	bytes	blob_git	sha256	relacion_con_corte
Cargo.lock	4358	2bef7e7bceaeb1d25ef031d679b0d4beca7f2afb	862e13f8209918766ae909588a5ee6364e7296a09f9ab24643677959b6e01985	IGUAL
Cargo.toml	526	7cd3f8fa52e209bca102dd8d4fe2bc13d9ae870e	5cc504ca0d82098a116ed8d147096dad0d863f4470d751f669447e11950a3777	IGUAL
DECISIONES_PENDIENTES.md	685	08ffcb1e3dd261bdbede77eb95c71a4af7ea6a0d	1c18271838cd980d789a163a139e80eeb670e676b9de20153a23073fd07474d2	IGUAL
DEPENDENCIAS.md	1012	b97c2af9e1a20cd5c57bbe4688e6f8f865f84945	1576ad349ddc8d31934242cbb8265c501276b705c7089a282557cc7bb6cbd6fd	IGUAL
INDICE.md	850	f2d2b0a37fabbc574be1cccfa991ee3e99a3321b	68078d363bc168512d7e41ced45a3d63d9d03944ee9a3f61e59674bca4e3b116	IGUAL
MANIFIESTO.tsv	1942	f67bdf8fceeb0991666560b1d5884b4c794fe170	2d304d142813e5b5e6753b0a913165fe8ec265bc1592f9ea6191a1997d495954	IGUAL
NOTA_DISCREPANCIAS_MANIFIESTO.md	1226	80b02b442a7202c3a4cd9e183bd02c5c9eed0491	341e7cdeb5a03350d5895e970efcb22585ab40326eae923b15110ad07500a851	IGUAL
PROTOCOLO_CUALIFICACION.md	4407	9cadf2eec3ccb9b3756945247de65492fda7dba3	c5be9527531f7591be3d3739c8218ad1ff70dd107057dc26832ecd4c028b6e3b	DISTINTO
PROTOCOLO_CUALIFICACION_02.md	1604	83d54509d83ba90327c575c54f25c5c27dec1094	6e7b03b2059fee0337955d8531089401e0d47b6f20bc398efe13c5e1783bb9fa	IGUAL
README.md	884	a60d861dfaffdfe82f89b2f125af5f3f2357ad03	8954141774f4dcdf64c4454c503f51323475caa2ae58999fadb216c96c34db23	DISTINTO
evidencias/ARBOL_DEPENDENCIAS.txt	823	871c6b6ceeaa952a2be6439d2c807af93de0ccdd	ada1448f5f336be0ac05bc6ce4f87604f347cfb04744364e7ef5d352e9f22c2e	IGUAL
evidencias/COMPILACION.txt	1316	9d15a8328d302d3c7e39a94826b993382ef85305	d171625f59e71a3551c04b46cb60ccb18266e7002f5f734a2930d3766bd3a868	IGUAL
evidencias/originales-ausentes/src_main.rs	5942	fa2126389ac2c70f4748458bf81f1fed006f5b2b	1223094facbd03baea7fa6870d49b7c672cae3f423c38e24a3e78646707da56b	ADICIONAL
evidencias/originales-ausentes/src_png_lectura.rs	6392	d2a4ca8602884885868b8d83001bf0230ba8a01c	4d9cbed4a374d698a97f5f6114b78272b47745f05a7e3085972146f68f57ce90	ADICIONAL
evidencias/originales-ausentes/src_reconocimiento.rs	7800	b845aa02180c2473322fc4ec7bad4333890b0ffa	287407359882e5e1bb3f31b8e76fda03f04e3b1618538186e63654e76a26ae35	ADICIONAL
evidencias/variantes/PROTOCOLO_CUALIFICACION.depositado-4379.md	4379	78a860d6985fc7383f4cba44fa2b010d01231c66	6233cde189816fcf3323ee2827a958ae6aa774b21a34bd3b5c832c202b6aefaa	ADICIONAL
evidencias/variantes/PROTOCOLO_CUALIFICACION.local-4407.md	4407	9cadf2eec3ccb9b3756945247de65492fda7dba3	c5be9527531f7591be3d3739c8218ad1ff70dd107057dc26832ecd4c028b6e3b	ADICIONAL
evidencias/variantes/regiones.depositado-775.rs	775	c3c9216bded2a5e2348b403acc6c1a763c60e2ce	044d2953259e0ff7b4b32ff15251b634b44f8589541ee6aec6a3bc9d95b0b398	ADICIONAL
evidencias/variantes/regiones.local-774.rs	774	db253269e0f324032aa2040700980f87b0353061	587987ab02f254d564b4e5e72a9aa6150d5c1f80c71a0a51ff7059d7344b39a9	ADICIONAL
insumos/RETICULA_TANDA_01.tsv	1608	dee5ac002913d62123c7b8d5885f0eb08fb174d3	a515c31825f8050754900ef92ddaea450a8e9d97ae8831e232e7b14ab6eb1456	IGUAL
insumos/parametros.candidatos.txt	229	886f4346a0fc0d9ed1d88007143d0274d5f165fa	5b66057f41e9ced765a4fa5686973b56127f3b66086ade20e548ae411a8c5a13	IGUAL
rust-toolchain.toml	51	687fc44dbbb30dd7f6903345d2660fdc79b089f1	b4ea3c94c934d96a2772b7878c12ccbf3e486313d0988a9c960e0bd87bafc8fe	IGUAL
src/diagnostico.rs	1889	4a5a2b1f6042910de273dce1b5ddee30d4acd619	f4c6f381f8fd1b620ee9eb71b27382e194625699d7698bc8b4975d80d188a349	IGUAL
src/lib.rs	1569	4fac8f5dc9eb8a87a47aea53a3ff5ae1e5bd8aed	6eb3a814ca609a43830794e195f07a5057f037ac98fc19e51b43ca577c31be25	IGUAL
src/main.rs	2904	b22c234ccd6965ea97e731653e2174f67b1450e7	905c6db4a4c78a3c2c21c68260fafe5fb8ff134df9a1138074ce37fbe059965f	DISTINTO
src/parametros.rs	4991	df9105d1ede884356353572e1d5ca7e90a35aef4	dc6023b2c2e9285cf9d8616284aa29c7d32b76e029a082ff769636ed66c7fab5	IGUAL
src/plantillas.rs	4088	b473d544a15a7a88f1db9bf97156ec4528c8ae0e	804c313f3d5b8acc2198cef11d5e1753f90eb9c241707515ccae3327073aed73	IGUAL
src/png_lectura.rs	6392	d2a4ca8602884885868b8d83001bf0230ba8a01c	4d9cbed4a374d698a97f5f6114b78272b47745f05a7e3085972146f68f57ce90	IGUAL
src/reconocimiento.rs	8387	1a16630c9b94fa14b2f0e1edbf6f36dab022d5aa	b321326ced4707e6e68e67635d6f5b7d00709f4366895c1be2f37eaf4189922d	IGUAL
src/regiones.rs	775	c3c9216bded2a5e2348b403acc6c1a763c60e2ce	044d2953259e0ff7b4b32ff15251b634b44f8589541ee6aec6a3bc9d95b0b398	IGUAL
src/residuo.rs	2789	2025200648bd59eed7d28619bc1710f8a208718b	b4510242133b399c75454d8c7f08a64c26e5d9e066edf24797bc47c02f2a4c05	IGUAL
src/sha256.rs	3302	793d958bd4cc72dcbd42718bc38c046c522ae50b	93245f5043ecb8c2dcc0b42fece4ed11330698ff617b3373507e3a2b8ea2613c	IGUAL
32_ARCHIVOS;22_IGUALES;3_DISTINTOS;7_ADICIONALES;3_ORIGINALES_CONCORDANTES
