parameter_id,canonical_name,aliases,definition,domain_area,subdomain,clinical_episode,parameter_role,data_type,unit,allowed_values,reference_range_or_threshold,population_scope,specimen_or_source,temporal_anchor,clinical_use,knowledge_or_skill,omission_consequence_patient,omission_consequence_expert,criticality,patient_harm_priority,diagnostic_priority,management_priority,monitoring_priority,omission_consequence_priority,domain_coverage_priority,empirical_validation_priority,data_availability_priority,priority_rationale,priority_context,priority_source,priority_confidence,priority_disagreement,evidence_source,source_version_date,jurisdiction_scope,repository_candidates,empirical_status,conflict_status,residual_reason,review_status
P-ALG-001,Adrenalina IM administrada en anafilaxia,epinefrina IM,Registro binario de administración de adrenalina IM en el episodio de anafilaxia en curso.,Inmunoalergia,Anafilaxia,Reacción aguda,intervención,booleano,sí/no,sí; no; desconocido,omisión del sí cuando hay criterios = evento adverso,cualquier edad,HCE urgencias,durante el episodio,tratamiento,vía IM; frontera POE Alergología vs Inmunología ES,muerte o daño anóxico si hay criterios y no se administra,error de tratamiento en minutos,crítico,20,8,20,6,20,10,6,8,daño de minutos; la rareza no baja la prioridad de daño,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO anaphylaxis; POE Alergología (frontera),WAO vigente; dos POE ES,internacional / ES (MIR-POE) según fuente,ninguno A1 cubre urgencias,no encontrado,pendiente,episodio asistencial ≠ registro IEI,propuesto
P-ALG-002,Criterios clínicos de anafilaxia presentes,WAO/NIAID criteria,Cumplimiento de criterios clínicos versionados de anafilaxia. No es un compuesto de gravedad alérgica.,Inmunoalergia,Anafilaxia,Reacción aguda,condición,booleano,sí/no,sí; no; incompleto,según sistema de criterios y su fecha,cualquier edad,exploración + historia,minuto 0,diagnóstico,criterios; no sustituye adrenalina,no se dispara el tratamiento,se trata otro shock o no se trata,crítico,19,20,18,5,19,10,5,7,diagnóstico que autoriza P-ALG-001,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO / NIAID-FAAN,declarar versión,internacional / ES (MIR-POE) según fuente,no en A1,no encontrado,pendiente,sistemas de criterios no equivalentes,propuesto
P-ALG-006,Angioedema con habones versus sin habones,HAE-like vs histaminérgico,Distinción: angioedema con habones frente a angioedema sin habones.,Inmunoalergia / complemento,Angioedema,Edema agudo,entrada,categórico,categoría,con habones; sin habones; no clasificable,sin habones orienta HAE/AAE; no cierra,cualquier edad,exploración,durante el brote,clasificación,no tratar HAE como anafilaxia histaminérgica,"adrenalina inútil y C1-INH no dado, o al revés",vía terapéutica errónea,crítico,18,18,18,8,18,12,6,6,bifurca HAE frente a histaminérgico,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,WAO/EAACI HAE; IUIS VIII,IUIS 2024 VIII,internacional / ES (MIR-POE) según fuente,ESID/USIDNET/REDIP si HAE hereditario,no buscado,pendiente,HAE≠AAE; Ag≠función,propuesto
P-VAC-001,Vacuna viva administrada en los últimos 30 días,live vaccine recent,Administración documentada de vacuna viva atenuada en los 30 días previos a la decisión.,Inmunoprofilaxis,Vacunas vivas,Pre-IS / IEI / post-SOT,exposición,booleano,sí/no,sí; no; desconocido,ventana 30 d = convención de esta versión,IC o candidato a IS,cartilla / HCE,30 días antes,seguridad,calendario + contraindicación en IC,enfermedad vacunal en SCID/IS grave,contraindicación no vista,crítico,18,6,19,10,18,14,7,8,evento iatrogénico evitable,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,ACIP IC; calendarios ES; POE vacunas,calendario vigente jurisdicción,internacional / ES (MIR-POE) según fuente,ImmPort ensayos vacuna; no cartilla ES,no buscado,pendiente,ventana 30 d convencional,propuesto
P-VAC-002,Indicación actual de vacuna viva,live vaccine due,Indicación vigente de administrar vacuna viva en el momento de la decisión.,Inmunoprofilaxis,Vacunas vivas,Consulta de inmunización,condición,categórico,categoría,indicada; no indicada; diferida,según calendario y estado IC declarados,según calendario,HCE + calendario,día de consulta,profilaxis,indicación ≠ administración; cruzar con IC,enfermedad prevenible o vacuna viva en SCID,calendario sin estado IC,condicionalmente crítico,16,5,17,8,16,13,6,7,crítico solo si el estado IC no está medido,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,calendario oficial + ACIP IC,declarar calendario,internacional / ES (MIR-POE) según fuente,no cartilla en A1,no buscado,pendiente,indicación jurisdiccional,propuesto
P-INF-001,Profilaxis PJP prescrita,TMP-SMX PJP; atovacuona,"Prescripción activa de un régimen de profilaxis frente a P. jirovecii, con fármaco declarado.",Infección en IC,PJP,IS alto riesgo / SCID / SOT / anti-CD20+GC,control,categórico,régimen,TMP-SMX; atovacuona; dapsone; pentamidina; ninguna; desconocido,umbral de INDICACIÓN no cerrado en esta versión,IC alto riesgo según guía declarada,orden médica,inicio IS o diagnóstico IEI,tratamiento,indicación ≠ fármaco,PJP grave o muerte si estaba indicada y no se dio,omisión de medida de soporte,crítico,20,7,20,14,20,16,8,5,omisión evitable; el umbral de indicación sigue residual,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,guías PJP SOT/onco/IEI — no unificadas,declarar guía,internacional / ES (MIR-POE) según fuente,TrialShare/ImmPort si el ensayo lo recoge; ESID tratamiento,no encontrado,pendiente,umbral de indicación no cerrado; semillas ≠ PJP,propuesto
P-INF-002,Fiebre en neutropenia grave,FN,Fiebre sobre umbral declarado con ANC <500/µL (u umbral local declarado).,Infección en IC,Neutropenia,Post-QT / agranulocitosis / IEI fagocito,condición,booleano,sí/no,sí; no,ANC <500 AND fiebre según definición local,neutropénico,analítica + temperatura,simultáneo,tratamiento,urgencia; no esperar cultivo,sepsis no tratada,retraso de horas,crítico,20,16,20,18,20,11,8,7,urgencia temporal; no específica de IEI,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IDSA FN,IDSA vigente al usar,internacional / ES (MIR-POE) según fuente,no específico A1,no buscado,pendiente,umbral térmico local,propuesto
P-HEM-001,Recuento absoluto de neutrófilos,ANC; RAN,Número absoluto de neutrófilos en sangre periférica.,Hematología inmune,Fagocito,Cualquier IC / QT / IEI,estado,cuantitativo,células/µL,≥0,grave <500; profunda <100; rangos pedia distintos,edad-específico,sangre EDTA,fecha-hora extracción,gravedad / vigilancia,absoluto ≠ porcentaje,no se ve neutropenia grave,se usa % y se pierde el absoluto,crítico,19,17,18,20,18,15,10,12,universal en IC y aún así sustituido por %,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,laboratorio clínico,método del laboratorio,internacional / ES (MIR-POE) según fuente,USIDNET/ESID si lo recogen; ImmPort CBC,no buscado,pendiente,método y unidad varían,propuesto
P-HEM-002,Recuento absoluto de linfocitos,ALC,Número absoluto de linfocitos en sangre periférica.,Hematología inmune,Linfocito,Sospecha IEI / anti-CD20 / SOT,estado,cuantitativo,células/µL,≥0,linfopenia persistente es umbral etario; no único,edad-específico (lactante ≠ adulto),sangre EDTA,fecha-hora extracción,diagnóstico / vigilancia,un ALC adulto 'normal' es patológico en lactante,SCID o linfopenia iatrogénica no vista,aplicar rango adulto a lactante,crítico,18,18,14,16,18,16,10,12,puerta de SCID y de anti-CD20,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS I; laboratorio; POE 5.2.2,rangos locales edad,internacional / ES (MIR-POE) según fuente,ESID/USIDNET/REDIP,no buscado,pendiente,rango etario no unificado,propuesto
P-IEI-001,Recuento absoluto CD3+,T-cell count,Linfocitos T CD3+ absolutos en sangre periférica.,IEI,Inmunofenotipo T,Sospecha SCID / CID,estado,cuantitativo,células/µL,≥0,rangos etarios de laboratorio,edad-específico,citometría,fecha del inmunofenotipo,diagnóstico,citometría clínica; no solo %,SCID T- no orientado,clasificación IUIS I imposible,crítico,19,20,16,15,19,18,9,6,eje de la clasificación T de SCID,candidato v0.2; no ranking asistencial,omisión + anclaje BOE/IUIS/ABAI; no promedio,"baja — propuesta no armonizada, no adoptada",las ocho escalas pueden discrepar; no se fusionan,IUIS 2024 I; POE 5.2.2,IUIS 2024; panel local,internacional / ES (MIR-POE) según fuente,"ESID, USIDNET, REDIP, FlowRepository",inaccesible,pendiente,microdato no descargado; ninguna fuente adoptada,propuesto
