entity_id,canonical_name,entity_type,definition,domain_area,subdomain,etiology_class,mechanism_class,primary_or_secondary,acute_chronic_recurrent,genetic_acquired_iatrogenic_unknown,population_scope,diagnostic_criteria_source,classification_system,classification_code,classification_version,phenotype_codes,differential_entities,major_complications,treatment_context,repository_candidates,data_status,residual_or_dispute,review_status
E-IEI-SCID,Inmunodeficiencia combinada grave (SCID),clase IUIS I,"Defectos que abolen inmunidad T adaptativa, con o sin B/NK.",IEI,IUIS I,monogénica (varios genes),ausencia de inmunidad T,primaria,urgente al diagnóstico,genética,lactante,IUIS 2024 I + función/gen,IUIS,Tabla I,IUIS 2024,OMIM múltiples; no fusionar,CID no SCID; VIH congénito,"infección vacunal, PJP, CMV, muerte pre-HSCT","aislamiento, no vivas, HSCT/TG, IGRT",R03 R04 R05,no contrastado con microdatos,no explotar 559 genes; leaky SCID,propuesto
E-IEI-CVID,Inmunodeficiencia común variable (CVID),entidad de criterios,"Hipogammaglobulinemia con fallo de Ac y exclusiones, criterios versionados.",IEI,IUIS III,oligo/poligénica + exclusiones,fallo de anticuerpo ± desregulación,primaria (fenocopias secundarias),crónica,mayormente desconocida,niño mayor y adulto,ESID CVID (versionar),ESID / IUIS III,CVID,declarar criterios,ORPHA 1572; no equivalente exacto ICD,"PAD secundaria, mieloma, fármacos, XLA tardío","bronquiectasias, autoinmunidad, granuloma, linfoma",IGRT + complicaciones,R03 R04 R05,no contrastado con microdatos,criterios ESID vs otros no equivalentes,propuesto
E-IEI-XLA,Agammaglobulinemia ligada a X (Bruton),entidad monogénica,Ausencia de B y de Igs por defecto de BTK.,IEI,IUIS III,BTK,bloqueo desarrollo B,primaria,crónica,genética XL,varón,IUIS III + BTK,IUIS / OMIM,OMIM 300755,IUIS 2024,OMIM 300755,agammaglobulinemia AR; anti-CD20; CVID B-bajos,"enterovirus, Pseudomonas, bronquiectasias",IGRT de por vida,R03 R04 R05,no contrastado con microdatos,fenotipo vs gen,propuesto
E-IEI-CGD,Enfermedad granulomatosa crónica,clase XL y AR,Defecto de burst fagocítico con infecciones catalasa+ y granulomas.,IEI,IUIS V.3,NADPH oxidasas,fallo de burst,primaria,crónica + agudos,genética,infancia; adultos residuales,DHR/NBT + gen,IUIS V,CGD (CYBB y AR),IUIS 2024 V,varios OMIM,déficit MPO; IBD; CF,"Aspergillus, absceso hepático, colitis","profilaxis antibac/IFD, HSCT",R03 R04 R05 R10,no contrastado con microdatos,XL vs AR no fusionar,propuesto
E-IEI-HAE-C1,Angioedema hereditario por C1-INH (HAE-1/2),entidad,Angioedema sin habones por déficit cuantitativo (1) o funcional (2) de C1-INH.,Complemento,IUIS VIII,SERPING1,bradicinina,primaria,recurrente,genética,cualquier edad,WAO HAE + C1-INH Ag y función,WAO / IUIS VIII,HAE-1 / HAE-2,WAO vigente; IUIS 2024,ORPHA 91378,HAE-nC1INH; AAE; histaminérgico; ACE-I,edema laríngeo,on-demand C1-INH/icatibant; no adrenalina como pilar,R03,no contrastado con microdatos,tipo 1 ≠ tipo 2; AAE es otra entidad,propuesto
E-IEI-AAE,Angioedema adquirido por C1-INH,entidad adquirida,"Déficit adquirido de C1-INH, a menudo con linfoproliferación o autoAb.",Complemento,Adquirido,adquirida,consumo o autoAb,secundaria,recurrente,adquirida,adulto,C1-INH bajo + C1q bajo típico + edad + no familiar,clínico,AAE,consensos HAE/AAE,,HAE-1/2; linfoma,laringe; neoplasia oculta,tratar causa + on-demand,no típico PID infantil,no contrastado con microdatos,C1q no está como parámetro en v0.2,propuesto
E-IEI-WAS,Wiskott-Aldrich,entidad monogénica,"Espectro WAS/XLT: eczema, trombocitopenia de plaquetas pequeñas, infección.",IEI,IUIS II,WAS,citoesqueleto hematopoyético,primaria,crónica,genética XL,varón,IUIS + WASP/gen,IUIS / OMIM,OMIM 301000,IUIS 2024,OMIM 301000,XLT; IPEX-like,"sangrado, autoinmunidad, linfoma",HSCT / TG según gravedad,R03 R04 R05,no contrastado con microdatos,volumen plaquetar no parametrizado en v0.2,propuesto
E-IEI-IPEX,IPEX (FOXP3),entidad monogénica,"Desregulación, poliendocrinopatía, enteropatía ligada a X por FOXP3.",IEI,IUIS IV,FOXP3,defecto Treg,primaria,crónica precoz,genética XL,varón lactante/niño,IUIS IV + FOXP3,IUIS / OMIM,OMIM 304790,IUIS 2024,OMIM 304790,IPEX-like; EICH; alergia grave,"DM neonatal, enteropatía, muerte",IS + HSCT,R03 R04,no contrastado con microdatos,IPEX-like no fusionar,propuesto
E-IEI-APECED,APECED / APS-1 (AIRE),entidad monogénica,Poliendocrinopatía autoinmune tipo 1 por AIRE.,IEI,IUIS IV,AIRE,tolerancia central,primaria,crónica,genética AR (y variantes),infancia / adulto joven,clínica + AIRE ± anti-IFN,IUIS / OMIM,OMIM 240300,IUIS 2024,OMIM 240300,APS-2; candidiasis crónica otras,crisis adrenal; COVID grave por anti-IFN,reemplazo hormonal + vigilancia,R03,no contrastado con microdatos,anti-IFN no parametrizado aún,propuesto
E-IEI-HLH-F,HLH familiar / linfohistiocitosis hemofagocítica primaria,clase de entidades,"HLH por defecto de citotoxicidad (PRF1, UNC13D, STX11, STXBP2, etc.).",IEI,IUIS VI / HLH,monogénica citotoxicidad,fallo de muerte de la célula diana,primaria,agudo recurrente,genética,lactante/niño,HLH-2004 + gen,HLH-2004 / IUIS,FHL2-5 etc.,HLH-2004; IUIS 2024,varios OMIM,"HLH secundario, MAS, sepsis, leucemia","FMO, muerte",protocolo HLH + HSCT en primarios,R03,no contrastado con microdatos,HLH-2004 vs HScore; no fusionar primario/secundario,propuesto
E-IDS-FARM,Inmunosupresión farmacológica activa,estado iatrogénico,"Estado por inmunosupresor o combinación, con clase declarada. No es IEI.",ID secundaria,Iatrogenia,farmacológica,según clase,secundaria,mientras dura la exposición,iatrogénica,tratado,prescripción + contexto,clases ATC / clínicas,clase IS,corte 31-08-2026,,IEI; VIH; asplenia; QT,"PJP, CMV, vacunas vivas, cáncer",profilaxis según clase y dosis × tiempo,R01 R06 (ensayos); no R03-R05 como objeto,no contrastado con microdatos,semillas IMMUNO-1/2 no agotan clases ni umbrales,propuesto
E-IDS-ACD20,Depleción B por anti-CD20,estado iatrogénico,Hipogammaglobulinemia y/o agotamiento B tras anti-CD20.,ID secundaria,Depleción B,farmacológica,lisis B,secundaria,meses-años,iatrogénica,tratado,exposición + CD19/IgG,clínico,anti-CD20 PAD secundaria,ficha técnica,,CVID; XLA; mieloma,PJP si +GC; encapsulados,vigilar IgG/CD19; IGRT si procede; no vivas,R01 si ensayo usa rituximab,no contrastado con microdatos,duración del efecto no fija,propuesto
E-IDS-VIH,VIH/SIDA,entidad infecciosa adquirida,Infección por VIH. Nombrada en POE. No es IEI.,ID secundaria,VIH,infecciosa,depleción CD4 + desregulación,secundaria,crónica,adquirida,todas las edades,CDC/EACS / OMS,CDC/OMS,B20 / estadiaje,guía vigente,ICD B20,CD4 idiopática; IEI,"PJP, TBC, CMV, tumores",TAR + profilaxis según CD4,cohortes VIH ≠ A1 IEI,no contrastado con microdatos,no usar ESID para VIH,propuesto
